종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"006920","모헨즈","KOSDAQ","비금속","2560","-40","-1.54","27955200000"
"001810","무림SP","KOSDAQ","종이·목재","1586","-1","-0.06","35110075000"
"279600","미디어젠","KOSDAQ","출판·매체복제","11300","0","0.00","52938025300"
"095500","미래나노텍","KOSDAQ","화학","10020","-50","-0.50","310720189980"
"254490","미래반도체","KOSDAQ","유통","15280","-870","-5.39","220612640000"
"218150","미래생명자원","KOSDAQ","음식료·담배","4500","-45","-0.99","91871109000"
"442900","미래에셋드림스팩1호","KOSDAQ","금융","9990","10","0.10","76723200000"
"100790","미래에셋벤처투자","KOSDAQ","금융","4675","-65","-1.37","248357663950"
"412930","미래에셋비전스팩1호","KOSDAQ","금융","2690","-5","-0.19","16613440000"
"446190","미래에셋비전스팩2호","KOSDAQ","금융","2230","35","1.59","11038500000"
"448830","미래에셋비전스팩3호","KOSDAQ","금융","2145","-20","-0.92","10553400000"
"477380","미래에셋비전스팩4호","KOSDAQ","금융","2015","-10","-0.49","16321500000"
"477470","미래에셋비전스팩5호","KOSDAQ","금융","2085","5","0.24","11425800000"
"478440","미래에셋비전스팩6호","KOSDAQ","금융","2025","5","0.25","14033250000"
"482680","미래에셋비전스팩7호","KOSDAQ","금융","1985","-2","-0.10","16306775000"
"049950","미래컴퍼니","KOSDAQ","기계·장비","17960","-550","-2.97","158369196640"
"207760","미스터블루","KOSDAQ","일반서비스","1322","-41","-3.01","109831473126"
"059090","미코","KOSDAQ","전기·전자","9780","-290","-2.88","326816088840"
"214610","미코바이오메드","KOSDAQ","의료·정밀기기","1642","22","1.36","71540207690"
"201490","미투온","KOSDAQ","출판·매체복제","2125","-20","-0.93","66422761250"
"452200","민테크","KOSDAQ","의료·정밀기기","6500","-150","-2.26","142644450000"
"418470","밀리의서재","KOSDAQ","일반서비스","13410","-220","-1.61","113975465490"
"206640","바디텍메드","KOSDAQ","제약","16100","100","0.63","378133616000"
"018700","바른손","KOSDAQ","유통","1124","-15","-1.32","39474606868"
"035620","바른손이앤에이","KOSDAQ","오락·문화","470","-5","-1.05","34986647250"
"053030","바이넥스","KOSDAQ","제약","20600","-1050","-4.85","673294272800"
"301300","바이브컴퍼니","KOSDAQ","출판·매체복제","4015","-105","-2.55","49765366915"
"064550","바이오니아","KOSDAQ","제약","23150","-400","-1.70","597508236650"
"314930","바이오다인","KOSDAQ","의료·정밀기기","18800","0","0.00","559565136400"
"208710","바이오로그디바이스","KOSDAQ","전기·전자","437","-12","-2.67","28798590168"
"086820","바이오솔루션","KOSDAQ","제약","15690","-310","-1.94","127770353940"
"038460","바이오스마트","KOSDAQ","전기·전자","3470","-85","-2.39","83048259520"
"251120","바이오에프디엔씨","KOSDAQ","제약","16200","-300","-1.82","140870340000"
"199730","바이오인프라","KOSDAQ","일반서비스","8280","-440","-5.05","40276958760"
"086040","바이오톡스텍","KOSDAQ","일반서비스","4425","-35","-0.78","70615242975"
"099430","바이오플러스","KOSDAQ","제약","5460","-30","-0.55","316302517440"
"032980","바이온","KOSDAQ","유통","669","8","1.21","29956475310"
"308080","바이젠셀","KOSDAQ","제약","3010","-185","-5.79","57983857400"
"043150","바텍","KOSDAQ","의료·정밀기기","23000","-100","-0.43","341647888000"
"323990","박셀바이오","KOSDAQ","일반서비스","12200","-490","-3.86","280517040000"
"267790","배럴","KOSDAQ","섬유·의류","4585","65","1.44","36168772500"
"046310","백금T&A","KOSDAQ","전기·전자","2380","-55","-2.26","39076365580"
"331520","밸로프","KOSDAQ","출판·매체복제","677","-12","-1.74","34435192030"
"199480","뱅크웨어글로벌","KOSDAQ","일반서비스","7350","-180","-2.39","74247039300"
"438700","버넥트","KOSDAQ","출판·매체복제","3505","25","0.72","39062839450"
"066410","버킷스튜디오","KOSDAQ","일반서비스","1153","0","0.00","96978744678"
"382900","범한퓨얼셀","KOSDAQ","전기·전자","13790","-290","-2.06","120814190000"
"206400","베노티앤알","KOSDAQ","건설","3965","-135","-3.29","128547092180"
"019010","베뉴지","KOSDAQ","유통","2150","-15","-0.69","103630000000"
"177350","베셀","KOSDAQ","기계·장비","312","6","1.96","27884077416"
"424760","벨로크","KOSDAQ","일반서비스","1040","-1","-0.10","20451602080"
"225530","보광산업","KOSDAQ","비금속","3865","-35","-0.90","140449179855"
"250000","보라티알","KOSDAQ","유통","9920","240","2.48","66967271360"
"310210","보로노이","KOSDAQ","제약","103200","-9200","-8.19","1894400294400"
"006910","보성파워텍","KOSDAQ","금속","3065","-185","-5.69","150582910560"
"226340","본느","KOSDAQ","화학","1639","-24","-1.44","68760016380"
"014470","부방","KOSDAQ","일반서비스","1708","27","1.61","102569260080"
"008470","부스타","KOSDAQ","금속","3920","-5","-0.13","32946816000"
"338220","뷰노","KOSDAQ","출판·매체복제","29000","-100","-0.34","402758293000"
"100120","뷰웍스","KOSDAQ","의료·정밀기기","24300","-850","-3.38","243045319500"
"406820","뷰티스킨","KOSDAQ","화학","13420","-530","-3.80","47426816800"
